Name,Latitude,Longitude,RouteDesignator,Procedure,FRA
FEFOS,37°31'21''N,014°32'39''E,NULL,CC star,
FEVHA,44°55'42''N,011°24'13''E,Y627,NULL,
FIZZY,38°35'51''N,013°08'08''E,NULL,"CJ star, CJ sid",
FORER,46°06'29''N,011°09'30''E,NULL,"PB star, PB sid, PB ial",
FOSQA,38°30'36''N,015°17'45''E,Q58,CR star,
GALTI,40°38'24''N,014°53'57''E,M742,RN sid,FRA(I)
GAPDO,44°12'52''N,007°09'04''E,Y24,NULL,
GAPMI,44°03'43''N,010°31'48''E,Y138,NULL,FRA(I)
GARFE,41°06'41''N,017°08'42''E,NULL,BD star,
GARGA,42°16'00''N,016°07'00''E,"L53, L613",NULL,FRA(I)
GARLO,45°52'28''N,007°45'01''E,"L612, M872",NULL,FRA(I)
GAVRA,43°46'34''N,011°49'29''E,"M726, M986, Y345, Y664, Z806","RQ star, RQ sid",FRA(I)
GEGDU,42°01'17''N,012°35'35''E,NULL,"RF sid, RA sid",
GEKBA,44°16'13''N,007°46'44''E,NULL,NULL,FRA(I)
GEKNU,40°49'21''N,009°38'35''E,NULL,EO star,
GEMMA,40°42'38''N,014°17'10''E,NULL,"RN sid, RN ial",
GEMVI,39°06'46''N,017°48'19''E,"L81, L869","BC star, BC sid",FRA(I)
GENGI,42°23'45''N,013°03'21''E,"N982, Z910",NULL,FRA(I)
GERBU,43°20'39''N,013°37'26''E,M736,"PY star, PY sid",FRA(I)
GERMO,39°14'59''N,011°21'25''E,M622,NULL,FRA(I)
GEVSO,38°36'39''N,013°20'13''E,NULL,CJ star,
GIANO,38°52'09''N,012°26'51''E,"L12, M215, M725, M727, M735, Q152","CJ star, CJ sid, CT star, CT sid",FRA(I)
GIBLO,45°21'30''N,009°52'00''E,M985,NULL,FRA(I)
GIFAN,37°26'42''N,014°47'13''E,NULL,CC sid,
GIGGI,40°15'29''N,009°09'47''E,Q213,NULL,FRA(I)
GIGIX,37°26'29''N,014°39'57''E,NULL,"CC star, CC ial",
GIKEB,46°10'57''N,011°37'15''E,"T101, Z468",NULL,FRA(I)
GIKIN,42°37'06''N,012°02'55''E,"L865, L995, N737, Q195, Q789, T128, Z806","RS star, RS sid",FRA(I)
GIKUS,46°10'24''N,013°18'16''E,Q707,NULL,FRA(I)
GIKUT,44°10'19''N,009°10'16''E,NULL,"MJ star, MJ ial",
GILIO,42°22'00''N,010°55'34''E,"M621, M729, Q195, Q704, Y99","RA sid, RF star, RF sid",FRA(I)
GIMEL,38°27'42''N,016°03'14''E,L137,CR star,FRA(I)
GINAR,43°37'57''N,010°48'58''E,L12,"RP star, RP sid, RQ sid",FRA(I)
GINOX,40°51'44''N,008°00'00''E,"M601, M732, Q710, Q714",EA sid,FRA(X)
GIPAP,42°04'59''N,011°53'26''E,NULL,RF star,
GIPIX,44°03'43''N,010°07'42''E,Q704,NULL,FRA(I)
GIPOR,40°25'38''N,014°36'25''E,NULL,"RI star, RI sid, RI ial",
GIPUK,44°35'19''N,011°58'00''E,"N503, Z982","PK star, PK sid",FRA(I)
GIRIS,46°46'18''N,010°53'03''E,"N606, Z905",NULL,FRA(E)
GIROV,39°12'48''N,015°40'30''E,M729,"BC star, CA star, CA sid",FRA(I)
GISAM,41°55'07''N,017°45'31''E,NULL,NULL,FRA(EX)
GISIG,38°59'32''N,011°03'49''E,"L44, Q152",NULL,FRA(I)
GISPA,41°48'19''N,011°20'32''E,"L50, Z154","RA sid, RF sid",FRA(I)
GITOD,42°48'01''N,012°18'39''E,"L865, M726, Y106, Y510","RA star, RZ star, RZ sid",FRA(I)
GITRI,40°55'39''N,010°09'29''E,"Q710, Z924",EO star,FRA(I)
GIVAT,45°11'55''N,010°36'09''E,NULL,PX star,
GIXOM,42°15'43''N,011°38'56''E,NULL,RF star,
GODUB,40°49'16''N,017°45'12''E,NULL,"BR star, BR ial",
GOGEM,47°01'06''N,011°31'35''E,Y108,NULL,
GOKBA,41°51'37''N,012°22'56''E,NULL,RF star,
GOKEL,40°35'54''N,019°00'00''E,"M603, Q920, Y647",BR sid,FRA(EX)
GOKLO,41°04'50''N,009°19'30''E,NULL,EO star,
GOKMI,40°26'16''N,008°14'22''E,Z924,NULL,FRA(I)
GOLAS,44°27'18''N,009°37'03''E,"M859, T648",MJ star,FRA(I)
GOLMU,40°36'12''N,009°13'43''E,NULL,EO star,
GOLPO,42°02'57''N,012°07'41''E,NULL,"RF star, RF ial",
GONGA,43°36'26''N,010°53'37''E,NULL,"RQ star, RQ ial",
GONOT,41°14'00''N,018°23'30''E,"L613, Y647",NULL,FRA(I)
GOPAT,41°20'00''N,008°26'38''E,L978,EA sid,
GOPOL,42°24'13''N,011°34'58''E,NULL,RF star,
GOREP,44°55'06''N,012°05'59''E,M167,NULL,FRA(I)
GOSEB,41°30'51''N,014°29'00''E,Z905,NULL,FRA(I)
GOTEK,46°08'17''N,013°11'20''E,Q707,NULL,FRA(I)
GOTMO,43°12'26''N,012°54'23''E,"L865, Q549, Z810",NULL,FRA(I)
GOVAM,38°51'30''N,016°30'53''E,NULL,"CA star, CA ial",
GOVGO,43°10'39''N,010°20'41''E,Z254,RP sid,
GOXIN,44°16'11''N,011°33'52''E,"Q58, Z43",NULL,FRA(I)
GUDPO,42°48'29''N,013°41'34''E,"M872, Z905",NULL,FRA(I)
GUFAT,37°19'25''N,014°34'13''E,NULL,CC star,
GUNGO,46°25'05''N,011°03'53''E,"T876, Y246",NULL,FRA(I)
IBCAF,45°33'49''N,010°39'34''E,Y831,PX star,
IBCUC,45°29'39''N,008°06'02''E,NULL,"MC sid, MF star, MW star",
IBENI,44°00'51''N,013°55'18''E,M986,NULL,FRA(X)
IBLET,38°32'47''N,013°13'24''E,NULL,CJ star,
IBLIG,37°33'10''N,015°12'35''E,NULL,CC sid,
IBLUN,44°52'15''N,009°43'27''E,NULL,ML star,
IBNAN,45°07'26''N,010°05'00''E,T678,NULL,FRA(I)
IBNEL,44°25'45''N,011°34'57''E,NULL,PE star,
IBREP,39°41'40''N,008°06'35''E,NULL,NULL,FRA(I)
IBRID,43°28'40''N,011°25'03''E,"L995, Y664","RP star, RQ star",FRA(I)
IBROS,41°47'41''N,010°02'53''E,"Q125, Z154",NULL,FRA(I)
IBSAP,45°12'49''N,008°31'48''E,NULL,MC star,
IBTOK,44°54'43''N,010°38'59''E,"KY139, M196, Q95",NULL,FRA(I)
IBUGO,45°38'28''N,011°22'36''E,"L615, T134",NULL,FRA(I)
IBUPU,45°10'29''N,010°44'36''E,T484,NULL,FRA(I)
IDABU,41°35'34''N,012°22'01''E,NULL,RF ial,
IDEPA,40°43'42''N,009°34'49''E,"M603, Q125",NULL,FRA(I)
IDLOL,42°30'10''N,013°55'41''E,L5,BP star,
IDONA,43°59'06''N,009°25'51''E,"M729, T836, Y69","MJ star, ML star",FRA(I)
IDREK,45°38'46''N,010°49'10''E,"L615, T897, Y769, Y801, Y831, Y842, Z909","PO star, PX star",FRA(I)
IDRIF,45°14'47''N,007°37'20''E,NULL,"MF star, MZ star",
IDROX,41°33'40''N,012°39'52''E,NULL,RA ial,
IKREZ,45°11'13''N,008°42'20''E,NULL,MC star,
ILFUG,45°22'03''N,009°37'21''E,NULL,ME sid,
IMROC,44°58'13''N,007°46'34''E,NULL,"MF star, MZ star",
INBUT,45°24'48''N,011°55'03''E,"N503, Y265","PH star, PH sid",
INDAX,37°29'47''N,015°17'21''E,Q72,"CC star, CC sid, CC ial, CR sid",FRA(I)
INDOD,45°13'10''N,012°23'20''E,NULL,"PZ star, PZ ial",
INDUM,40°58'47''N,008°51'05''E,Q714,EO sid,FRA(I)
INFRI,45°14'03''N,010°49'24''E,NULL,"PX star, PO star",
INGAB,40°00'58''N,015°48'27''E,N604,NULL,FRA(I)
INKIM,42°50'09''N,014°09'55''E,Y579,"BP star, BP sid",FRA(I)
INLER,45°22'10''N,008°48'00''E,NULL,"MC star, MC ial",
INRIB,43°43'44''N,013°40'47''E,NULL,"PY star, PY ial",
INROF,37°03'37''N,016°48'17''E,L30,NULL,
INSOX,41°49'18''N,013°13'20''E,"L995, N982",NULL,FRA(I)
INTUD,42°28'17''N,012°37'14''E,Q549,NULL,FRA(I)
INVES,45°02'50''N,009°25'45''E,NULL,ML star,
INVOP,45°48'10''N,008°09'23''E,L612,NULL,FRA(I)
IPDAB,44°57'41''N,010°50'57''E,"KY139, M196, T678",NULL,FRA(I)
IPGOR,42°53'08''N,012°16'09''E,"M726, N737, Y106",NULL,FRA(I)
IPGUN,41°30'24''N,011°55'22''E,NULL,RF star,
IPINO,45°42'26''N,013°17'03''E,NULL,PQ sid,
IPKAM,41°11'27''N,014°39'12''E,"L995, Z905, Z910",RN star,
IPKOV,40°59'04''N,009°24'46''E,NULL,EO star,
IPLEK,42°32'39''N,011°31'00''E,NULL,RF star,
IPLUB,44°14'54''N,010°48'32''E,L995,NULL,FRA(I)
IPMUT,41°40'14''N,012°30'17''E,NULL,"RF sid, RA sid",
IPROM,41°05'27''N,008°13'10''E,NULL,NULL,FRA(I)
IPSAR,41°35'00''N,012°45'58''E,NULL,RF star,
IQNOC,37°17'56''N,015°19'56''E,NULL,CC star,
IRBAK,43°37'14''N,010°04'44''E,Q703,NULL,FRA(I)
IRBES,42°04'07''N,012°10'04''E,NULL,RF ial,
IRKED,45°43'26''N,008°52'04''E,NULL,MC sid,
ISKIA,40°41'27''N,013°53'27''E,M603,"RN star, RN sid",FRA(I)
ISNAQ,45°41'37''N,012°24'14''E,NULL,PH star,
ITEFE,45°07'04''N,011°15'21''E,T558,PX sid,
ITHON,44°49'21''N,008°02'47''E,NULL,"MF star, MZ star",
ITVUN,45°07'30''N,009°43'53''E,NULL,ME star,
IVKAL,46°47'39''N,011°02'15''E,T102,NULL,
IVLAM,43°47'22''N,007°31'45''E,N736,NULL,
IVLOX,44°43'10''N,010°23'13''E,L995,NULL,FRA(I)
IVMAN,43°47'16''N,013°35'54''E,NULL,PY ial,
IVMEP,43°16'22''N,013°22'05''E,"M872, Z905",NULL,FRA(I)
IVORY,41°08'49''N,008°28'59''E,L42,EA sid,
IXITO,44°08'05''N,008°48'13''E,"L50, N850, Q713, Z388","MG star, MG sid, MJ star, MJ sid, MJ ial",FRA(I)
IXOGU,46°22'20''N,011°15'14''E,"Q217, Q984, T897",NULL,FRA(I)
IXORA,45°50'12''N,008°35'20''E,L153,"ME sid, ML sid",FRA(I)
IXOSI,38°14'50''N,012°49'08''E,NULL,"CJ star, CJ ial",
IXUKI,44°59'11''N,010°17'38''E,NULL,MP ial,
IXUSA,45°09'27''N,007°14'13''E,P860,"MF sid, MZ sid",FRA(I)
JESSY,43°29'26''N,010°11'46''E,NULL,"RP star, RP ial",
JEZOH,39°18'20''N,009°12'16''E,NULL,EE sid,
KALIK,44°28'06''N,009°50'53''E,"M859, Q920",ML star,FRA(I)
KALMO,44°19'18''N,009°35'39''E,"M730, Q223, Q703, Q704, Y239, Z388","MJ star, ML star",FRA(I)
KANIN,46°26'26''N,013°37'43''E,Y66,NULL,
KAPIL,38°21'22''N,012°07'33''E,"M622, M871","CJ star, CJ sid, CT star, CT sid",FRA(I)
KAPPE,36°46'44''N,011°46'36''E,NULL,"CG star, CG ial",
KAPPO,40°36'39''N,018°00'10''E,"A48, L612, L862, L995, M603, P92, T292","BG star, BG sid, BR sid",
KARDU,42°58'47''N,010°30'39''E,"Q703, Q704",NULL,FRA(I)
KAREL,43°20'47''N,010°19'31''E,NULL,RP sid,
KASCI,41°56'41''N,012°29'24''E,NULL,RA SID,
KATAR,43°03'06''N,012°40'40''E,"L865, Q549","RZ star, RZ sid",FRA(I)
KATFU,43°50'48''N,013°31'01''E,NULL,"PY star, PY ial",
KATTI,42°30'28''N,016°02'56''E,M169,NULL,FRA(E)
KEBBU,45°37'56''N,013°30'53''E,P28,NULL,
KEGED,43°34'44''N,013°50'16''E,"M730, Y11","PY star, PY sid",
KEMMI,44°46'30''N,008°48'44''E,"N850, Q712",MC sid,
KEPUM,43°44'26''N,013°32'00''E,NULL,"PY star, PY ial",
KERON,38°13'27''N,012°48'45''E,NULL,CJ sid,
KIBJO,44°54'25''N,011°12'29''E,Y474,NULL,
KILLI,40°48'22''N,009°53'30''E,NULL,EO ial,
KISTO,42°19'50''N,010°22'59''E,"M728, Q160",NULL,FRA(I)
KIZAF,45°19'49''N,012°07'41''E,NULL,PZ ial,
KODOK,44°56'33''N,007°40'11''E,"M730, Y11",NULL,FRA(I)
KOGEB,38°50'41''N,016°37'51''E,L869,"CA star, CA sid",FRA(I)
KOLEX,36°30'00''N,012°34'58''E,"M727, Q723",NULL,FRA(I) - FRA Malta only
KOLOR,38°27'30''N,013°15'03''E,NULL,"CJ star, CJ ial",
KOLUS,40°43'05''N,009°26'28''E,"M603, Q182, Z924","EA sid, EO sid",FRA(I)
KONER,43°30'17''N,009°31'48''E,L50,RP star,FRA(I)
KONUT,41°17'34''N,012°01'00''E,"L44, L50, Z923","RA sid, RF sid",FRA(I)
KOPER,45°09'14''N,011°38'29''E,"L12, L614, M196, M736, Y522, Y614, Y665, Y922","PO sid, PX sid, PZ star",FRA(I)
KOVAS,39°38'44''N,009°04'14''E,"M732, Q125, Q213","EE star, EE sid",FRA(I)
KOXUD,45°10'46''N,009°37'01''E,T102,NULL,FRA(I)
KREVA,44°46'28''N,011°14'06''E,"M738, T492, Z909","PE star, PO star",FRA(I)
KUBUD,46°03'33''N,013°36'11''E,Q217,NULL,FRA(X)
KUFED,41°08'46''N,014°35'34''E,NULL,RN star,
KUGAG,40°50'31''N,009°08'30''E,NULL,EO star,
KUGIX,43°33'08''N,011°21'44''E,L995,"RQ star, RQ sid",FRA(I)
KUKEV,45°39'10''N,007°12'29''E,L50,"MF sid, MZ sid",FRA(X)
KUMIN,44°57'58''N,007°20'55''E,"M730, Y11","MF star, MZ star",FRA(I)
KUPBE,45°37'37''N,008°36'10''E,NULL,MC star,
KUTID,40°25'13''N,015°12'42''E,"P748, Z910",NULL,FRA(I)
LABIN,44°59'09''N,013°05'29''E,"L614, Z122",NULL,FRA(X)
LABOM,40°22'56''N,009°24'16''E,Q125,"EO star, EO sid",FRA(I)
LADUS,44°56'52''N,007°34'53''E,NULL,MF star,
LADUV,43°45'51''N,013°33'57''E,NULL,"PY star, PY ial",
LAGEN,44°23'39''N,008°29'53''E,"L50, M196, M859, Q712, T445","MC star, MC sid, MF star, MF sid, MG sid, MJ sid, ML sid, MZ star, MZ sid",FRA(I)
LAISH,45°02'33''N,010°14'26''E,NULL,"PX star, PO star",
LAKOX,43°09'20''N,012°06'32''E,"Q25, Q85","RZ star, RZ sid",
LAMEB,39°04'30''N,016°25'09''E,M601,NULL,FRA(I)
LAMPO,46°06'21''N,011°42'05''E,"N503, T101",NULL,FRA(I)
LAMUP,36°54'59''N,012°00'54''E,NULL,"CG star, CG ial",
LANLI,43°57'26''N,013°10'50''E,"L612, N737","PY star, PY sid",FRA(I)
LANNO,42°20'31''N,013°53'18''E,L81,NULL,FRA(I)
LAPAB,45°31'46''N,011°58'18''E,"L613, L615, Z906",NULL,FRA(I)
LAPRI,44°58'49''N,007°09'36''E,Y11,NULL,FRA(E)
LAPVO,43°20'00''N,013°52'33''E,"L612, Y579",NULL,FRA(I)
LAREN,45°16'41''N,012°03'42''E,"N503, Q561, Z122","PZ star, PZ sid, PZ ial",FRA(I)
LARUD,44°24'16''N,010°53'31''E,NULL,PE star,
LASAV,45°36'42''N,010°00'24''E,NULL,"ME star, ME ial",
LATAN,39°17'36''N,019°00'00''E,"L869, M872",NULL,FRA(EX)
LATNI,35°44'50''N,012°40'58''E,NULL,CD star,
LAVRU,38°15'48''N,013°21'09''E,NULL,"CJ star, CJ ial",
LEBNU,38°01'09''N,013°44'30''E,P126,NULL,FRA(I)
LEDKO,45°49'08''N,011°05'19''E,M736,NULL,FRA(I)
LEDRO,39°17'03''N,009°40'33''E,M126,"EE star, EE sid",FRA(I)
LEDSA,41°58'47''N,011°56'04''E,NULL,RF star,
LEGLO,45°39'01''N,009°46'10''E,"L615, Y170","MC star, ME sid, PX sid. LSZA sid, LSZA star",FRA(I)
LEIRA,45°49'43''N,013°17'24''E,NULL,"PQ star, PQ ial",
LELSU,42°02'16''N,012°48'27''E,NULL,"RF sid, RA sid",
LESMI,35°43'55''N,012°30'54''E,NULL,"CD star, CD sid",
LEVDI,36°30'00''N,018°49'32''E,Y751,NULL,FRA(EX)
LEVSI,45°56'16''N,010°15'13''E,Q984,NULL,FRA(I)
LIBRO,37°37'17''N,014°27'53''E,"M871, N982","CB star, CC star, CC sid",FRA(I)
LICDE,35°47'32''N,012°29'06''E,NULL,"CD sid, CD star",
LICFE,44°47'05''N,011°01'35''E,Y507,PO sid,
LIDNU,41°07'34''N,009°57'20''E,NULL,EO star,
LIGBU,42°21'41''N,012°25'57''E,NULL,RF star,
LIGUR,43°32'37''N,008°58'39''E,M858,NULL,
LIKDA,47°01'01''N,011°45'03''E,N503,NULL,FRA(E)
LIKNO,43°47'38''N,012°20'54''E,"M730, M872, P131, Q95",NULL,FRA(I)
LILEE,45°14'30''N,012°55'06''E,M167,PH sid,FRA(I)
LIMBA,44°55'36''N,009°19'58''E,NULL,"MJ star, ML star, ML sid",
LISKO,43°34'17''N,014°07'56''E,"M730, T415, T484, Z906","PY star, PY sid",FRA(I)
LOBBE,45°19'55''N,012°07'36''E,NULL,PZ ial,
LOBSI,44°54'18''N,012°10'21''E,"N503, Z456, Z905",NULL,FRA(I)
LOCRI,41°56'47''N,012°29'35''E,NULL,"RA star, RA ial",
LODPA,39°09'44''N,016°19'34''E,Q865,NULL,FRA(I)
LOGDI,44°42'47''N,010°11'46''E,"T293, Y663","ME sid, ML sid",FRA(I)
LOMED,44°01'38''N,011°00'12''E,"L12, L995, M167, M730, M872, Q25, Z910","PE star, PE sid, RQ star, RQ sid, RS star, RS sid",FRA(I)
LOMEF,40°48'33''N,017°44'49''E,NULL,"BR star, BR ial",
LONDA,38°16'38''N,015°32'38''E,"Q58, Z854","CR star, CR sid, CR ial",
LONDI,37°20'44''N,013°11'27''E,"M726, Q723",NULL,FRA(E)
LOPKO,37°39'58''N,012°10'49''E,L869,CT star,FRA(I)
LORED,36°30'00''N,015°37'00''E,M600,NULL,FRA(X)
LORLO,46°43'27''N,010°40'44''E,"M738, Q49, Y740",NULL,FRA(I)
LORNO,37°24'00''N,019°00'00''E,"L81, M729",NULL,FRA(E)
LOUIS,38°14'39''N,012°42'35''E,NULL,CJ sid,
LUFLI,44°04'24''N,012°31'00''E,NULL,PR ial,
LUGAN,46°00'13''N,008°54'37''E,NULL,LSZA star,
LUKAD,38°58'40''N,009°43'37''E,M732,EE star,FRA(I)
LUKIM,44°08'24''N,009°18'31''E,"M729, N851",MJ star,FRA(I)
LULET,44°12'58''N,009°18'59''E,NULL,MJ star,
LULIX,40°15'21''N,009°53'07''E,Q123,NULL,FRA(I)
LUMAR,41°37'07''N,017°33'50''E,"A482, L613",BD star,FRA(I)
LUMAV,44°48'52''N,011°36'59''E,"L12, M726, M859, P131, Q58, T558, Y555, Y627, Y699, Z982","PE star, PE sid, PK star, PK sid, PO star, PO sid, PX sid, PZ sid",FRA(I)
LUNAK,41°42'12''N,011°52'14''E,"L5, M729","RA star, RF star",FRA(I)
LUNAM,39°37'24''N,008°57'13''E,"M731, M858, T118",NULL,FRA(I)
LUNAR,40°41'26''N,015°25'02''E,M742,NULL,FRA(I)
LUPAL,39°28'11''N,018°46'10''E,"L862, M872",NULL,FRA(I)
LUPIN,46°00'22''N,013°24'43''E,P125,"PQ star, PQ sid",FRA(I)
LUPOS,44°30'17''N,010°34'53''E,"L81, L995, M859, Y138","MP star, MP sid, PE sid",FRA(I)
LURAG,45°31'40''N,007°05'20''E,"M135, Q223, T293, T345",NULL,FRA(E)
LURON,38°51'32''N,013°06'57''E,"M726, Q152, Z923","CJ star, CJ sid",FRA(I)
LURUT,44°31'25''N,010°59'00''E,"M859, T293, Y11",NULL,FRA(I)
LUSFU,44°40'27''N,008°02'57''E,NULL,"MF star, MZ star",
LUSIL,46°02'35''N,010°07'00''E,"M984, T772, W323, Y740","MF star, MJ star, ML star, MZ star",FRA(I)
LUTES,38°32'22''N,013°01'04''E,NULL,CJ star,
LUTOR,44°29'17''N,011°21'39''E,"L12, Q95, Z909",NULL,FRA(I)
LUXIL,40°49'09''N,016°52'15''E,"L995, M742, M872","BR star, BD sid",FRA(I)
LUZEM,37°27'47''N,015°04'23''E,NULL,CC sid,
LUZOT,35°38'45''N,013°03'06''E,NULL,CD star,
MABOX,37°09'42''N,013°11'39''E,"M622, M726",NULL,FRA(I) - FRA Malta only
MADIR,36°30'00''N,013°12'25''E,M726,NULL,FRA(I) - FRA Malta only
MADKA,41°20'00''N,009°16'06''E,M622,NULL,FRA(X)
MALAV,40°50'45''N,008°20'44''E,"M601, M731, Q182",NULL,FRA(I)
MALFI,40°35'20''N,014°37'10''E,NULL,RN sid,
MALOG,40°31'59''N,013°35'06''E,"M729, N982",RN sid,FRA(I)
MALUG,46°42'22''N,012°35'51''E,"M985, Q985",NULL,FRA(X)
MAMAR,41°48'14''N,011°05'51''E,M728,NULL,FRA(I)
MAPIS,41°04'44''N,016°32'59''E,NULL,"BD star, BD ial",
MAREL,43°16'55''N,010°39'05''E,"L12, L153","RP sid, RQ star, RQ sid",FRA(I)
MAREP,39°52'02''N,015°36'14''E,"M736, Z910",NULL,FRA(I)
MARLY,43°44'03''N,009°56'13''E,NULL,RP sid,
MARON,37°07'25''N,013°39'11''E,L12,NULL,FRA(X)
MASAX,40°24'40''N,017°25'52''E,NULL,"BG star, BG ial",
MASEG,43°24'46''N,013°44'58''E,L612,"PY star, PY sid",FRA(I)
MASOT,38°06'08''N,016°47'12''E,"M620, M728, Y751",NULL,FRA(I)
MASSU,40°52'58''N,008°17'49''E,NULL,EA star,
MATED,40°36'38''N,016°10'06''E,"L81, M603, Q865, T416",NULL,FRA(I)
MATOG,45°23'11''N,007°35'22''E,NULL,MF sid,
MAVEN,42°03'43''N,012°07'22''E,NULL,RF ial,
MEBUR,44°45'35''N,009°10'18''E,"T648, Y15, Y69",MC star,
MEDAL,42°03'10''N,011°22'35''E,"M729, Q160, Z806",NULL,FRA(I)
MEFFE,42°36'41''N,011°06'07''E,NULL,"RS star, RS ial",
MEFRE,40°32'01''N,017°29'57''E,NULL,"BG star, BG ial",
MEGAN,37°32'17''N,011°59'46''E,"L869, M732, M735, M740, P748","CT sid, CT star",FRA(I)
MEGER,43°19'54''N,009°10'33''E,Z911,NULL,FRA(E)
MEZHO,41°26'04''N,014°04'06''E,NULL,RN sid,
MIKSO,42°01'28''N,012°11'12''E,NULL,"RF star, RF ial",
MILIS,41°01'58''N,009°46'22''E,NULL,"EO star, EO sid, EO ial",
MINKA,40°49'09''N,008°51'20''E,"L5, M623, M733, M858, P872, Q182, Z347","EA star, EA sid, EO star, EO sid",FRA(I)
MIRAX,44°56'09''N,008°08'38''E,NULL,MF sid,
MIRSA,42°49'22''N,009°45'00''E,"L127, T246",NULL,FRA(X)
MISPO,45°01'26''N,010°04'50''E,"L995, Y974","MP star, MP sid",FRA(I)
MIVBO,44°41'29''N,011°32'08''E,NULL,"PE star, PE ial",
MIVKI,44°13'27''N,010°04'14''E,"M730, T648",NULL,FRA(I)
MOBDO,46°25'28''N,011°48'42''E,"P66, Y9",NULL,FRA(I)
MOGBO,44°58'54''N,007°24'29''E,NULL,NULL,FRA(I)
MOGPU,43°34'01''N,012°21'29''E,T128,NULL,FRA(I)
MOKTO,40°36'52''N,017°10'27''E,"M603, M872, T415",NULL,FRA(I)
MOLUX,41°18'24''N,014°48'25''E,M725,RN sid,FRA(I)
MONEB,44°37'35''N,009°15'02''E,"M985, N851",NULL,FRA(I)
MONFA,45°29'14''N,013°16'45''E,"M859, Q561",NULL,
MOPUV,42°03'35''N,013°16'55''E,"Y106, Z924","RA star, RF star",FRA(I)
MORCI,41°06'39''N,014°20'15''E,NULL,RN sid,
MOROB,40°39'57''N,008°43'23''E,M603,EA star,FRA(I)
MORUX,38°02'47''N,012°15'38''E,NULL,"CT star, CT ial",
MOULE,42°37'17''N,009°45'00''E,L146,NULL,FRA(E)
MOVOR,45°49'08''N,010°49'26''E,"P131, Q49, T897",NULL,FRA(I)
MUMFA,38°58'15''N,016°54'45''E,NULL,"BC ial, BC star",
MUPOC,35°28'01''N,012°23'24''E,NULL,"CD star, CD ial",
MUPXA,44°54'30''N,011°22'45''E,Y555,NULL,
MUSKY,38°34'40''N,012°28'03''E,NULL,"CT sid, CT star",
NALUV,38°25'43''N,012°42'41''E,NULL,CJ star,
NANUX,42°08'00''N,011°55'40''E,NULL,RF star,
NAPOX,41°52'51''N,012°31'44''E,NULL,RF ial,
NASOM,37°25'55''N,014°39'38''E,NULL,"CC star, CC ial",
NATAG,46°51'29''N,010°37'08''E,"M738, Y740",NULL,FRA(E)
NATOV,37°50'38''N,015°31'37''E,Y93,CC star,
NAVAG,42°34'49''N,014°05'48''E,"L5, M736",NULL,FRA(I)
NAXAV,46°27'50''N,011°19'20''E,"L12, M726, M736, M984, N606, T101, Y9, Z613, Z906","PB star, PB sid",FRA(I)
NAXES,39°53'16''N,014°27'32''E,"P748, T92",NULL,FRA(I)
NEBAS,41°18'15''N,014°29'29''E,Z910,NULL,
NECAW,39°14'45''N,009°17'53''E,NULL,EE sid,
NEDED,44°41'38''N,008°08'26''E,"L50, M984","MC sid, MF sid, ML sid, MZ star",FRA(I)
NEGIK,45°49'08''N,010°58'16''E,M738,NULL,FRA(I)
NEKPI,41°20'00''N,013°05'00''E,M726,NULL,FRA(I)
NELAB,45°37'42''N,008°24'24''E,"Y29, Y740","MC star, MC sid, MC ial, MF star, MZ star",
NELDA,36°51'46''N,014°23'34''E,"L137, N573, N982","CB star, CB sid, CC star, CC sid",FRA(X)
NEMBO,42°17'27''N,010°46'38''E,T313,RF sid,FRA(I)
NEMIT,42°21'50''N,010°15'29''E,"Q125, Q160",NULL,FRA(I)
NENIG,41°54'00''N,011°35'34''E,NULL,"RA sid, RF sid",
NERAR,39°18'15''N,014°16'01''E,"M601, M728, P3, Q182",NULL,FRA(I)
NESTI,45°48'14''N,010°25'37''E,"M985, T102",ML sid,FRA(I)
NETUN,41°25'14''N,012°15'33''E,NULL,"RF star, RF ial",
NEVMO,44°53'50''N,011°23'23''E,"T484, T678, Z982",NULL,FRA(I)
NEVNI,45°38'54''N,010°25'21''E,L615,"PO star, PX star",FRA(I)
NEVOT,39°02'22''N,009°46'13''E,"M871, Q213",EE star,FRA(I)
NEVUX,41°31'44''N,012°19'26''E,NULL,"RF star, RF ial",
NEZCA,40°57'41''N,016°30'51''E,NULL,BD star,
NIBEL,37°44'34''N,010°57'33''E,M734,NULL,FRA(E)
NIBLO,36°30'00''N,012°50'32''E,M742,NULL,FRA(I) - FRA Malta only
NIBTO,43°42'25''N,011°02'49''E,NULL,"RQ star, RQ ial",
NIBUG,41°40'22''N,012°28'25''E,NULL,RF star,
NIGSO,44°23'35''N,010°42'40''E,Y239,PE star,FRA(I)
NIKMA,43°03'59''N,012°10'49''E,"M726, T128, T369, Y106, Z910",NULL,FRA(I)
NIKOL,44°13'19''N,013°41'10''E,L865,NULL,FRA(X)
NILTO,40°20'40''N,015°37'07''E,Y159,NULL,FRA(I)
NIMUM,44°46'42''N,011°53'00''E,"Q125, Y504, Z43",NULL,FRA(I)
NIORR,45°43'13''N,013°25'24''E,NULL,"PQ star, PQ ial",
NIPLI,45°16'35''N,010°32'49''E,NULL,PO ial,
NIPSA,41°34'44''N,012°19'30''E,NULL,RF ial,
NISIL,44°59'04''N,011°12'01''E,"KY139, T484",NULL,FRA(I)
NISUV,38°02'50''N,017°16'35''E,N573,NULL,FRA(I)
